site,cage,treatment,tile,tile.treatment,position,length,thickness,dry.mass,af.dry.mass,tissue.mass,ci
SIN,13,NP,281,No.cull,7,19.49,4.28,0.236,0.22,0.016,0.072727273
SIN,13,NP,299,Juv.cull,2,15.93,4.66,0.301,0.277,0.024,0.086642599
SIN,13,NP,299,Juv.cull,3,16.26,3.9,0.205,0.186,0.019,0.102150538
SIN,13,NP,299,Juv.cull,9,19.29,4.25,0.288,0.259,0.029,0.111969112
SIN,13,NP,634,Juv.cull,1,22.2,4.66,0.546,0.515,0.031,0.060194175
SIN,13,NP,634,Juv.cull,4,20.09,4.27,0.33,0.311,0.019,0.061093248
SIN,13,NP,634,Juv.cull,5,19.39,3.73,0.335,0.316,0.019,0.060126582
SIN,13,NP,634,Juv.cull,7,21.74,3.84,0.396,0.37,0.026,0.07027027
SIN,13,NP,634,Juv.cull,8,19.13,3.32,0.34,0.315,0.025,0.079365079
SIN,13,NP,712,Juv.cull,1,14.99,3.54,0.192,0.181,0.011,0.060773481
SIN,13,NP,712,Juv.cull,3,15.31,3.43,0.21,0.198,0.012,0.060606061
SIN,13,NP,712,Juv.cull,4,15.01,4.19,0.18,0.169,0.011,0.065088757
SIN,13,NP,712,Juv.cull,6,18.96,3.85,0.265,0.249,0.016,0.064257028
SIN,13,NP,712,Juv.cull,8,18.74,3.82,0.329,0.311,0.018,0.057877814
SIN,13,NP,717,Juv.cull,4,21.7,3.72,0.316,0.3,0.016,0.053333333
SIN,13,NP,717,Juv.cull,5,15.6,5.01,0.428,0.403,0.025,0.062034739
SIN,13,NP,717,Juv.cull,6,21.93,4.64,0.476,0.448,0.028,0.0625
SIN,13,NP,717,Juv.cull,9,17.62,3.98,0.321,0.301,0.02,0.066445183
SIN,13,NP,717,Juv.cull,10,28.01,4.26,0.455,0.422,0.033,0.078199052
SIN,13,NP,717,Juv.cull,7,11.46,3.98,0.2,0.19,0.01,0.052631579
SIN,13,NP,717,Juv.cull,8,14.89,4.23,0.288,0.271,0.017,0.062730627
SIN,13,NP,718,Juv.cull,1,14.57,4.41,0.287,0.274,0.013,0.047445255
SIN,13,NP,718,Juv.cull,2,13.09,4.56,0.315,0.301,0.014,0.046511628
SIN,13,NP,718,Juv.cull,4,22.54,3.88,0.409,0.386,0.023,0.059585492
SIN,13,NP,718,Juv.cull,5,21.15,4.22,0.347,0.325,0.022,0.067692308
SIN,13,NP,718,Juv.cull,9,15.04,4.18,0.163,0.157,0.006,0.038216561
SIN,13,NP,718,Juv.cull,10,22.93,4.74,0.491,0.461,0.03,0.065075922
SIN,13,NP,720,No.cull,2,13.04,4,0.251,0.233,0.018,0.077253219
SIN,13,NP,720,No.cull,3,17.38,3.68,0.349,0.324,0.025,0.077160494
SIN,13,NP,720,No.cull,4,18.73,4.21,0.291,0.275,0.016,0.058181818
SIN,13,NP,720,No.cull,5,16.7,3.8,0.241,0.225,0.016,0.071111111
SIN,13,NP,720,No.cull,7,12.42,3.22,0.116,0.11,0.006,0.054545455
SIN,13,NP,720,No.cull,8,17.1,3.7,0.229,0.215,0.014,0.065116279
SIN,13,NP,720,No.cull,10,12.97,4.47,0.238,0.221,0.017,0.076923077
SIN,13,NP,723,No.cull,1,21.77,4.44,0.341,0.321,0.02,0.062305296
SIN,13,NP,723,No.cull,2,17.8,4.18,0.284,0.266,0.018,0.067669173
SIN,13,NP,723,No.cull,4,19.38,3.31,0.289,0.274,0.015,0.054744526
SIN,13,NP,723,No.cull,5,18.75,3.42,0.226,0.214,0.012,0.056074766
SIN,13,NP,723,No.cull,6,17.46,4.45,0.392,0.372,0.02,0.053763441
SIN,13,NP,723,No.cull,7,20.34,3.96,0.359,0.337,0.022,0.065281899
SIN,13,NP,723,No.cull,8,18.14,3.59,0.222,0.208,0.014,0.067307692
SIN,13,NP,723,No.cull,10,17.8,4.1,0.207,0.194,0.013,0.067010309
SIN,13,NP,731,No.cull,3,14.92,3.35,0.196,0.186,0.01,0.053763441
SIN,13,NP,731,No.cull,5,20.1,2.88,0.246,0.233,0.013,0.055793991
SIN,13,NP,731,No.cull,6,16.71,4.27,0.286,0.272,0.014,0.051470588
SIN,13,NP,731,No.cull,7,18.02,3.74,0.269,0.25,0.019,0.076
SIN,13,NP,731,No.cull,8,21.66,3.26,0.332,0.311,0.021,0.067524116
SIN,13,NP,732,Juv.cull,6,17.03,4.64,0.364,0.347,0.017,0.048991354
SIN,13,NP,732,Juv.cull,7,17.87,4.61,0.333,0.318,0.015,0.047169811
SIN,13,NP,732,Juv.cull,8,19.35,3.75,0.289,0.274,0.015,0.054744526
SIN,13,NP,732,Juv.cull,10,21.35,4.5,0.464,0.436,0.028,0.064220183
SIN,13,NP,736,No.cull,1,23.98,4.66,0.488,0.457,0.031,0.067833698
SIN,13,NP,736,No.cull,2,24.59,4.23,0.446,0.413,0.033,0.079903148
SIN,13,NP,736,No.cull,3,22.96,4.51,0.426,0.394,0.032,0.081218274
SIN,13,NP,736,No.cull,4,20.89,3.54,0.318,0.295,0.023,0.077966102
SIN,13,NP,736,No.cull,5,21.89,4.78,0.394,0.363,0.031,0.085399449
SIN,13,NP,736,No.cull,6,18.37,3.68,0.177,0.167,0.01,0.05988024
SIN,13,NP,736,No.cull,7,22.23,5.81,0.672,0.631,0.041,0.064976228
SIN,13,NP,736,No.cull,8,16.66,3.56,0.187,0.176,0.011,0.0625
SIN,13,NP,736,No.cull,9,16.56,4.2,0.249,0.237,0.012,0.050632911
SIN,13,NP,736,No.cull,10,22.9,4.64,0.411,0.388,0.023,0.059278351
SIN,14,MC,298,Juv.cull,1,18.77,3.57,0.288,0.265,0.023,0.086792453
SIN,14,MC,298,Juv.cull,4,18.16,3.35,0.217,0.206,0.011,0.053398058
SIN,14,MC,298,Juv.cull,5,11.59,3.68,0.181,0.165,0.016,0.096969697
SIN,14,MC,298,Juv.cull,6,14.18,3.64,0.247,0.235,0.012,0.05106383
SIN,14,MC,298,Juv.cull,7,18.23,4.61,0.316,0.298,0.018,0.060402685
SIN,14,MC,298,Juv.cull,10,15.22,3.89,0.292,0.277,0.015,0.054151625
SIN,14,MC,466,Juv.cull,3,16.75,4.07,0.235,0.221,0.014,0.063348416
SIN,14,MC,466,Juv.cull,6,21.04,4.1,0.45,0.427,0.023,0.053864169
SIN,14,MC,466,Juv.cull,7,12.58,4.82,0.177,0.168,0.009,0.053571429
SIN,14,MC,466,Juv.cull,10,17.34,3.39,0.238,0.225,0.013,0.057777778
SIN,14,MC,611,Juv.cull,2,15.81,4.6,0.18,0.172,0.008,0.046511628
SIN,14,MC,611,Juv.cull,3,15.29,3.73,0.221,0.21,0.011,0.052380952
SIN,14,MC,611,Juv.cull,5,14.53,3.98,0.224,0.215,0.009,0.041860465
SIN,14,MC,611,Juv.cull,9,15.53,3.51,0.201,0.19,0.011,0.057894737
SIN,14,MC,611,Juv.cull,4,13.05,4.6,0.287,0.252,0.035,0.138888889
SIN,14,MC,616,Juv.cull,1,14.83,4.1,0.249,0.238,0.011,0.046218487
SIN,14,MC,616,Juv.cull,3,17.81,4.15,0.296,0.281,0.015,0.053380783
SIN,14,MC,616,Juv.cull,7,14.26,3.79,0.192,0.183,0.009,0.049180328
SIN,14,MC,616,Juv.cull,8,17.74,4.09,0.333,0.317,0.016,0.050473186
SIN,14,MC,616,Juv.cull,9,16.9,4.07,0.315,0.301,0.014,0.046511628
SIN,14,MC,616,Juv.cull,10,19.65,3.77,0.392,0.373,0.019,0.050938338
SIN,14,MC,622,No.cull,1,22.28,4.09,0.428,0.404,0.024,0.059405941
SIN,14,MC,622,No.cull,2,19.78,4.75,0.308,0.292,0.016,0.054794521
SIN,14,MC,622,No.cull,3,19.72,4.26,0.565,0.535,0.03,0.056074766
SIN,14,MC,622,No.cull,4,11.53,3,0.086,0.081,0.005,0.061728395
SIN,14,MC,622,No.cull,5,17.91,3.56,0.302,0.284,0.018,0.063380282
SIN,14,MC,622,No.cull,6,16.25,3.58,0.251,0.238,0.013,0.054621849
SIN,14,MC,622,No.cull,7,15.32,5,0.261,0.247,0.014,0.056680162
SIN,14,MC,622,No.cull,8,14.01,3.66,0.207,0.199,0.008,0.040201005
SIN,14,MC,622,No.cull,9,19.93,4.1,0.416,0.394,0.022,0.055837563
SIN,14,MC,622,No.cull,10,14.49,3.94,0.196,0.187,0.009,0.048128342
SIN,14,MC,630,No.cull,1,18.82,2.97,0.231,0.217,0.014,0.064516129
SIN,14,MC,630,No.cull,2,15.67,3.91,0.21,0.197,0.013,0.065989848
SIN,14,MC,630,No.cull,3,15.12,3.49,0.166,0.153,0.013,0.08496732
SIN,14,MC,630,No.cull,4,15.67,3.65,0.283,0.268,0.015,0.055970149
SIN,14,MC,630,No.cull,5,13.39,3.52,0.146,0.13,0.016,0.123076923
SIN,14,MC,630,No.cull,6,18.59,3.84,0.268,0.244,0.024,0.098360656
SIN,14,MC,630,No.cull,7,14.87,2.83,0.171,0.158,0.013,0.082278481
SIN,14,MC,630,No.cull,8,17.17,3.9,0.239,0.229,0.01,0.043668122
SIN,14,MC,630,No.cull,9,18.23,3.9,0.245,0.233,0.012,0.051502146
SIN,14,MC,630,No.cull,10,9.72,3.87,0.171,0.162,0.009,0.055555556
SIN,14,MC,635,Juv.cull,1,20.34,4.04,0.404,0.382,0.022,0.057591623
SIN,14,MC,635,Juv.cull,2,19.39,5.42,0.312,0.295,0.017,0.057627119
SIN,14,MC,635,Juv.cull,6,14.85,4,0.222,0.212,0.01,0.047169811
SIN,14,MC,635,Juv.cull,7,18.12,4.29,0.267,0.254,0.013,0.051181102
SIN,14,MC,635,Juv.cull,9,19.73,4.16,0.446,0.419,0.027,0.064439141
SIN,14,MC,635,Juv.cull,10,21.11,3.9,0.449,0.422,0.027,0.063981043
SIN,14,MC,642,No.cull,1,21.96,3.83,0.284,0.247,0.037,0.149797571
SIN,14,MC,642,No.cull,2,16.16,4.26,0.171,0.155,0.016,0.103225806
SIN,14,MC,642,No.cull,3,17.68,3.04,0.238,0.203,0.035,0.172413793
SIN,14,MC,642,No.cull,4,19.31,3.36,0.24,0.195,0.045,0.230769231
SIN,14,MC,642,No.cull,5,13.74,3.33,0.147,0.132,0.015,0.113636364
SIN,14,MC,642,No.cull,6,10.98,3.84,0.17,0.162,0.008,0.049382716
SIN,14,MC,642,No.cull,7,15.87,4.46,0.227,0.219,0.008,0.03652968
SIN,14,MC,642,No.cull,8,16.17,4.86,0.219,0.21,0.009,0.042857143
SIN,14,MC,642,No.cull,9,17.42,3.32,0.245,0.232,0.013,0.056034483
SIN,14,MC,642,No.cull,10,21.05,3.07,0.227,0.213,0.014,0.0657277
SIN,14,MC,680,No.cull,1,19.83,4.52,0.371,0.349,0.022,0.063037249
SIN,14,MC,680,No.cull,2,20.06,4.47,0.364,0.342,0.022,0.064327485
SIN,14,MC,680,No.cull,3,14.77,3.98,0.182,0.173,0.009,0.052023121
SIN,14,MC,680,No.cull,4,16.62,3.31,0.212,0.203,0.009,0.044334975
SIN,14,MC,680,No.cull,5,15.24,3.12,0.186,0.178,0.008,0.04494382
SIN,14,MC,680,No.cull,6,14.81,3.97,0.158,0.152,0.006,0.039473684
SIN,14,MC,680,No.cull,7,17.98,3.36,0.183,0.173,0.01,0.057803468
SIN,14,MC,680,No.cull,8,18.29,2.93,0.256,0.244,0.012,0.049180328
SIN,14,MC,680,No.cull,9,14.23,4.65,0.158,0.15,0.008,0.053333333
SIN,14,MC,680,No.cull,10,12.3,3.59,0.194,0.185,0.009,0.048648649
SIN,14,MC,721,Juv.cull,2,12.03,2.92,0.126,0.119,0.007,0.058823529
SIN,14,MC,721,Juv.cull,3,18.72,3.7,0.24,0.227,0.013,0.057268722
SIN,14,MC,721,Juv.cull,5,17.2,3.38,0.358,0.339,0.019,0.056047198
SIN,14,MC,721,Juv.cull,7,21.72,3.99,0.367,0.341,0.026,0.076246334
SIN,14,MC,721,Juv.cull,8,12.91,4.42,0.23,0.211,0.019,0.090047393
SIN,14,MC,721,Juv.cull,9,13.96,4.57,0.352,0.333,0.019,0.057057057
SIN,14,MC,722,No.cull,1,14.76,3.72,0.231,0.219,0.012,0.054794521
SIN,14,MC,722,No.cull,2,11.58,4.67,0.357,0.337,0.02,0.059347181
SIN,14,MC,722,No.cull,3,24.93,5.66,0.698,0.652,0.046,0.070552147
SIN,14,MC,722,No.cull,5,21.61,4.39,0.56,0.525,0.035,0.066666667
SIN,14,MC,722,No.cull,6,19.89,3.9,0.368,0.351,0.017,0.048433048
SIN,14,MC,722,No.cull,7,16.94,3.79,0.246,0.229,0.017,0.074235808
SIN,14,MC,722,No.cull,8,19.98,4.6,0.365,0.343,0.022,0.064139942
SIN,14,MC,722,No.cull,9,19.83,5.24,0.371,0.343,0.028,0.081632653
SIN,14,MC,722,No.cull,10,19.3,3.62,0.241,0.223,0.018,0.080717489
SIN,14,MC,726,No.cull,1,23.07,4.05,0.485,0.457,0.028,0.061269147
SIN,14,MC,726,No.cull,2,22.01,4.22,0.391,0.368,0.023,0.0625
SIN,14,MC,726,No.cull,3,23.01,4.97,0.485,0.457,0.028,0.061269147
SIN,14,MC,726,No.cull,4,21.54,3.95,0.446,0.418,0.028,0.066985646
SIN,14,MC,726,No.cull,5,23.98,4.19,0.543,0.509,0.034,0.066797642
SIN,14,MC,726,No.cull,6,21.56,3.95,0.364,0.337,0.027,0.080118694
SIN,14,MC,726,No.cull,7,20.07,3.85,0.335,0.312,0.023,0.073717949
SIN,14,MC,726,No.cull,8,20.29,4.45,0.408,0.382,0.026,0.068062827
SIN,14,MC,726,No.cull,9,14.91,4.66,0.345,0.325,0.02,0.061538462
SIN,14,MC,726,No.cull,10,19.69,3.72,0.284,0.256,0.028,0.109375
SIN,16,NP,852,Juv.cull,1,23.44,4.99,0.463,0.436,0.027,0.061926606
SIN,16,NP,852,Juv.cull,5,19.5,6.59,0.436,0.414,0.022,0.053140097
SIN,16,NP,852,Juv.cull,7,23.98,4.31,0.534,0.499,0.035,0.070140281
SIN,16,NP,852,Juv.cull,9,19.97,6.41,0.451,0.426,0.025,0.058685446
SIN,16,NP,854,Juv.cull,1,16.15,4.04,0.301,0.281,0.02,0.071174377
SIN,16,NP,854,Juv.cull,2,22.5,4.27,0.503,0.473,0.03,0.063424947
SIN,16,NP,854,Juv.cull,5,18.54,3.8,0.282,0.264,0.018,0.068181818
SIN,16,NP,854,Juv.cull,6,22.36,4.33,0.52,0.487,0.033,0.067761807
SIN,16,NP,854,Juv.cull,9,18.96,4.52,0.405,0.379,0.026,0.068601583
SIN,16,NP,858,No.cull,1,24.11,4.95,0.624,0.587,0.037,0.063032368
SIN,16,NP,858,No.cull,3,22.76,4.7,0.379,0.351,0.028,0.07977208
SIN,16,NP,858,No.cull,6,23.99,3.82,0.4,0.374,0.026,0.069518717
SIN,16,NP,858,No.cull,7,22.88,4.74,0.394,0.37,0.024,0.064864865
SIN,16,NP,858,No.cull,8,20.26,5.39,0.393,0.371,0.022,0.059299191
SIN,16,NP,858,No.cull,9,19.09,5.72,0.508,0.481,0.027,0.056133056
SIN,16,NP,858,No.cull,10,24.47,6.4,1.056,0.994,0.062,0.062374245
SIN,16,NP,861,No.cull,1,18.9,5.8,0.433,0.409,0.024,0.058679707
SIN,16,NP,861,No.cull,3,18.43,3.33,0.216,0.2,0.016,0.08
SIN,16,NP,861,No.cull,5,19.43,6.83,0.328,0.31,0.018,0.058064516
SIN,16,NP,861,No.cull,9,18.59,4.01,0.282,0.263,0.019,0.072243346
SIN,16,NP,861,No.cull,10,21.08,4.4,0.358,0.335,0.023,0.068656716
SIN,16,NP,862,Juv.cull,1,23.12,4.03,0.375,0.355,0.02,0.056338028
SIN,16,NP,862,Juv.cull,2,14.9,4.93,0.235,0.22,0.015,0.068181818
SIN,16,NP,862,Juv.cull,6,25.35,5.45,1.021,0.963,0.058,0.060228453
SIN,16,NP,863,No.cull,1,30.35,5.05,0.995,0.935,0.06,0.064171123
SIN,16,NP,863,No.cull,2,29.21,4.88,0.769,0.726,0.043,0.05922865
SIN,16,NP,863,No.cull,3,15.9,5.54,0.405,0.383,0.022,0.057441253
SIN,16,NP,863,No.cull,4,20.55,4.64,0.351,0.328,0.023,0.070121951
SIN,16,NP,863,No.cull,5,26.29,4.39,0.538,0.501,0.037,0.073852295
SIN,16,NP,863,No.cull,6,32.2,5.64,0.827,0.78,0.047,0.06025641
SIN,16,NP,863,No.cull,7,26.61,5.43,0.608,0.575,0.033,0.057391304
SIN,16,NP,863,No.cull,9,23.64,4.59,0.466,0.438,0.028,0.063926941
SIN,16,NP,864,Juv.cull,3,25.22,4.66,0.604,0.565,0.039,0.069026549
SIN,16,NP,864,Juv.cull,8,23.58,4.97,0.422,0.397,0.025,0.062972292
SIN,16,NP,864,Juv.cull,9,22.22,5.98,0.544,0.518,0.026,0.05019305
SIN,16,NP,864,Juv.cull,10,28.78,5.17,0.778,0.732,0.046,0.06284153
SIN,16,NP,864,Juv.cull,5,13.73,4.58,0.399,0.379,0.02,0.052770449
SIN,16,NP,865,Juv.cull,2,19.03,4.42,0.321,0.297,0.024,0.080808081
SIN,16,NP,865,Juv.cull,7,20.3,2.61,0.248,0.228,0.02,0.087719298
SIN,16,NP,865,Juv.cull,8,20.76,4.21,0.282,0.263,0.019,0.072243346
SIN,16,NP,865,Juv.cull,9,14.79,4.68,0.303,0.285,0.018,0.063157895
SIN,16,NP,866,No.cull,1,16.68,4.48,0.266,0.251,0.015,0.059760956
SIN,16,NP,866,No.cull,3,16.63,3.97,0.258,0.244,0.014,0.057377049
SIN,16,NP,866,No.cull,5,15.95,4.48,0.442,0.424,0.018,0.04245283
SIN,16,NP,867,Juv.cull,9,19.71,5.82,0.433,0.408,0.025,0.06127451
SIN,16,NP,867,Juv.cull,10,21.58,6.73,0.511,0.48,0.031,0.064583333
SIN,16,NP,868,No.cull,2,22.57,4.05,0.483,0.453,0.03,0.066225166
SIN,16,NP,868,No.cull,3,23.77,6.33,0.787,0.738,0.049,0.066395664
SIN,16,NP,868,No.cull,4,27.42,5.4,0.706,0.66,0.046,0.06969697
SIN,16,NP,868,No.cull,7,22.38,4.54,0.428,0.402,0.026,0.064676617
SIN,16,NP,868,No.cull,8,28.82,5.25,0.751,0.704,0.047,0.066761364
SIN,16,NP,868,No.cull,9,24.87,4.1,0.494,0.463,0.031,0.066954644
SIN,16,NP,868,No.cull,10,16.62,5.65,0.471,0.45,0.021,0.046666667
SIN,16,NP,869,No.cull,4,20.84,3.8,0.411,0.384,0.027,0.0703125
SIN,16,NP,869,No.cull,5,14.17,4.6,0.228,0.214,0.014,0.065420561
SIN,16,NP,869,No.cull,6,21.18,4.04,0.477,0.444,0.033,0.074324324
SIN,16,NP,869,No.cull,9,24.23,5.41,0.664,0.624,0.04,0.064102564
SIN,16,NP,869,No.cull,10,11.64,4.49,0.272,0.254,0.018,0.070866142
SIN,22,CC,36,Juv.cull,2,13.9,4.63,0.276,0.262,0.014,0.053435115
SIN,22,CC,36,Juv.cull,3,19.57,4.19,0.418,0.391,0.027,0.069053708
SIN,22,CC,36,Juv.cull,6,21.26,4.8,0.496,0.465,0.031,0.066666667
SIN,22,CC,36,Juv.cull,7,14.11,3.05,0.162,0.154,0.008,0.051948052
SIN,22,CC,743,No.cull,5,16.91,3.96,0.243,0.229,0.014,0.061135371
SIN,22,CC,745,No.cull,9,12.24,4.82,0.188,0.179,0.009,0.05027933
SIN,22,CC,749,No.cull,3,20.74,3.22,0.274,0.254,0.02,0.078740157
SIN,22,CC,749,No.cull,7,18.24,3.62,0.25,0.236,0.014,0.059322034
SIN,22,CC,749,No.cull,8,18.89,3.79,0.304,0.284,0.02,0.070422535
SIN,22,CC,749,No.cull,9,19.38,3.84,0.311,0.294,0.017,0.057823129
SIN,22,CC,750,No.cull,5,19.09,4.27,0.417,0.395,0.022,0.055696203
SIN,22,CC,750,No.cull,6,17.21,3.16,0.218,0.207,0.011,0.053140097
SIN,22,CC,750,No.cull,7,17.4,2.95,0.201,0.188,0.013,0.069148936
SIN,22,CC,750,No.cull,8,20.03,3.52,0.319,0.302,0.017,0.056291391
SIN,22,CC,752,Juv.cull,2,17.26,3.36,0.191,0.165,0.026,0.157575758
SIN,22,CC,752,Juv.cull,9,14.26,3.92,0.222,0.189,0.033,0.174603175
SIN,22,CC,756,No.cull,10,17.22,2.73,0.177,0.168,0.009,0.053571429
SIN,22,CC,763,Juv.cull,3,15.02,3.98,0.203,0.191,0.012,0.062827225
SIN,23,MC,598,No.cull,1,21.56,4.34,0.425,0.395,0.03,0.075949367
SIN,23,MC,598,No.cull,2,21.07,4.62,0.484,0.437,0.047,0.107551487
SIN,23,MC,598,No.cull,3,19.84,5.09,0.446,0.409,0.037,0.090464548
SIN,23,MC,598,No.cull,5,19.76,3.43,0.359,0.325,0.034,0.104615385
SIN,23,MC,598,No.cull,6,19.92,4.13,0.432,0.406,0.026,0.064039409
SIN,23,MC,598,No.cull,9,20.67,5.09,0.347,0.299,0.048,0.160535117
SIN,23,MC,598,No.cull,10,12.64,5.29,0.335,0.317,0.018,0.056782334
SIN,23,MC,645,Juv.cull,4,22.12,4.34,0.573,0.537,0.036,0.067039106
SIN,23,MC,645,Juv.cull,6,16.45,3.43,0.18,0.167,0.013,0.077844311
SIN,23,MC,645,Juv.cull,10,16.36,4.89,0.267,0.251,0.016,0.06374502
SIN,23,MC,817,No.cull,1,16.05,5.1,0.444,0.419,0.025,0.059665871
SIN,23,MC,817,No.cull,4,16.92,4.89,0.28,0.266,0.014,0.052631579
SIN,23,MC,817,No.cull,5,20.31,4.15,0.45,0.424,0.026,0.061320755
SIN,23,MC,817,No.cull,7,13.84,3.52,0.237,0.226,0.011,0.048672566
SIN,23,MC,817,No.cull,8,19.22,4.6,0.307,0.29,0.017,0.05862069
SIN,23,MC,817,No.cull,9,19.39,4.74,0.377,0.359,0.018,0.050139276
SIN,23,MC,817,No.cull,10,16.68,3.99,0.273,0.259,0.014,0.054054054
SIN,23,MC,818,Juv.cull,7,17.77,3.88,0.238,0.224,0.014,0.0625
SIN,23,MC,818,Juv.cull,9,19.85,3.75,0.359,0.339,0.02,0.05899705
SIN,23,MC,819,Juv.cull,1,16.44,4,0.266,0.248,0.018,0.072580645
SIN,23,MC,819,Juv.cull,6,19.71,3.78,0.345,0.323,0.022,0.068111455
SIN,23,MC,819,Juv.cull,7,14.87,3.53,0.207,0.191,0.016,0.083769634
SIN,23,MC,819,Juv.cull,9,14.89,3.49,0.212,0.2,0.012,0.06
SIN,23,MC,819,Juv.cull,10,23.03,4.59,0.678,0.634,0.044,0.069400631
SIN,23,MC,824,No.cull,1,15.72,3.05,0.209,0.197,0.012,0.060913706
SIN,23,MC,824,No.cull,4,15.71,3.65,0.229,0.216,0.013,0.060185185
SIN,23,MC,824,No.cull,6,17.01,3.6,0.307,0.287,0.02,0.069686411
SIN,23,MC,842,Juv.cull,1,18.43,3.89,0.32,0.299,0.021,0.070234114
SIN,23,MC,842,Juv.cull,2,15.58,3.35,0.233,0.217,0.016,0.073732719
SIN,23,MC,842,Juv.cull,6,16.53,3.77,0.234,0.213,0.021,0.098591549
SIN,23,MC,843,Juv.cull,7,18.89,3.99,0.376,0.352,0.024,0.068181818
SIN,23,MC,843,Juv.cull,9,19.46,4.67,0.423,0.399,0.024,0.060150376
SIN,23,MC,843,Juv.cull,10,23.17,4.41,0.595,0.557,0.038,0.068222621
SIN,23,MC,844,No.cull,4,18.82,4.57,0.262,0.245,0.017,0.069387755
SIN,23,MC,844,No.cull,5,13.82,4.52,0.144,0.135,0.009,0.066666667
SIN,23,MC,844,No.cull,8,22.84,3.76,0.395,0.371,0.024,0.064690027
SIN,23,MC,844,No.cull,10,18.85,3.52,0.304,0.279,0.025,0.089605735
SIN,23,MC,845,No.cull,1,18.07,3.28,0.265,0.249,0.016,0.064257028
SIN,23,MC,845,No.cull,2,19.69,3.58,0.341,0.323,0.018,0.055727554
SIN,23,MC,845,No.cull,3,15.79,3.79,0.231,0.217,0.014,0.064516129
SIN,23,MC,845,No.cull,4,16.33,3.45,0.198,0.187,0.011,0.058823529
SIN,23,MC,845,No.cull,7,17.76,4.12,0.33,0.31,0.02,0.064516129
SIN,23,MC,845,No.cull,8,16.9,3.27,0.169,0.159,0.01,0.062893082
SIN,23,MC,845,No.cull,9,19.33,4.6,0.303,0.283,0.02,0.070671378
SIN,23,MC,845,No.cull,10,18.92,3.63,0.396,0.37,0.026,0.07027027
SIN,23,MC,846,No.cull,2,13.15,3.54,0.146,0.126,0.02,0.158730159
SIN,23,MC,846,No.cull,3,15.96,2.88,0.202,0.182,0.02,0.10989011
SIN,23,MC,846,No.cull,7,14.31,4.19,0.234,0.209,0.025,0.119617225
SIN,23,MC,846,No.cull,8,16.47,4.44,0.267,0.236,0.031,0.131355932
SIN,23,MC,846,No.cull,9,17.94,3.41,0.278,0.252,0.026,0.103174603
SIN,23,MC,846,No.cull,10,16.61,4.96,0.413,0.365,0.048,0.131506849
SIN,23,MC,847,Juv.cull,6,22.9,4.49,0.496,0.463,0.033,0.071274298
SIN,24,MC,638,No.cull,1,16.84,3.61,0.197,0.185,0.012,0.064864865
SIN,24,MC,638,No.cull,2,20.13,4.08,0.345,0.323,0.022,0.068111455
SIN,24,MC,638,No.cull,3,19.07,3.59,0.26,0.222,0.038,0.171171171
SIN,24,MC,638,No.cull,4,19.28,4.68,0.35,0.325,0.025,0.076923077
SIN,24,MC,638,No.cull,5,19.13,3.98,0.403,0.379,0.024,0.063324538
SIN,24,MC,638,No.cull,6,24.38,5.22,0.881,0.714,0.167,0.233893557
SIN,24,MC,638,No.cull,8,17.8,4.47,0.278,0.188,0.09,0.478723404
SIN,24,MC,640,No.cull,1,16.31,3.53,0.2,0.184,0.016,0.086956522
SIN,24,MC,640,No.cull,3,14.85,3.91,0.236,0.213,0.023,0.107981221
SIN,24,MC,640,No.cull,4,15.68,3.3,0.204,0.187,0.017,0.090909091
SIN,24,MC,640,No.cull,6,16.06,4.01,0.238,0.212,0.026,0.122641509
SIN,24,MC,640,No.cull,8,20.13,3.72,0.396,0.327,0.069,0.211009174
SIN,24,MC,640,No.cull,10,19.13,4.32,0.322,0.295,0.027,0.091525424
SIN,24,MC,799,Juv.cull,10,15.76,3.6,0.19,0.179,0.011,0.061452514
SIN,24,MC,802,Juv.cull,1,20.78,3.14,0.269,0.213,0.056,0.262910798
SIN,24,MC,802,Juv.cull,2,19.59,3.88,0.322,0.23,0.092,0.4
SIN,24,MC,802,Juv.cull,5,17.13,4.16,0.239,0.198,0.041,0.207070707
SIN,24,MC,802,Juv.cull,10,16.42,2.64,0.159,0.151,0.008,0.052980132
SIN,24,MC,821,Juv.cull,4,15.21,4.57,0.237,0.228,0.009,0.039473684
SIN,24,MC,821,Juv.cull,7,18.83,3.1,0.262,0.247,0.015,0.060728745
SIN,24,MC,826,No.cull,3,13.63,2.56,0.121,0.067,0.054,0.805970149
SIN,24,MC,828,Juv.cull,1,14.73,2.85,0.198,0.112,0.086,0.767857143
SIN,24,MC,828,Juv.cull,7,19.2,4.59,0.404,0.116,0.288,2.482758621
SIN,24,MC,828,Juv.cull,10,14.92,3.99,0.214,0.128,0.086,0.671875
SIN,24,MC,830,No.cull,1,16.23,2.83,0.236,0.096,0.14,1.458333333
SIN,24,MC,830,No.cull,4,10.83,3.01,0.096,0.091,0.005,0.054945055
SIN,24,MC,830,No.cull,5,14.09,4.18,0.207,0.138,0.069,0.5
SIN,24,MC,830,No.cull,6,9.66,3.14,0.099,0.093,0.006,0.064516129
SIN,24,MC,830,No.cull,10,14.36,4.11,0.172,0.155,0.017,0.109677419
SIN,24,MC,831,Juv.cull,5,14.28,3.6,0.163,0.157,0.006,0.038216561
SIN,24,MC,831,Juv.cull,7,18.05,3.45,0.221,0.21,0.011,0.052380952
